"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"9893","LOC105677174","gene11182","mitochondrial intermembrane space import and assembly protein 40-B",924
"9890","LOC105677171","gene11180","complement component 1 Q subcomponent-binding protein, mitochondrial",1073
"5620","LOC105672902","gene7290","protein kish-A",905
"8988","LOC105676269","gene10321","ribose-5-phosphate isomerase",1386
"3736","LOC105671018","gene5559","sentrin-specific protease 8-like",1656
"10801","LOC105678082","gene11985","ras-related and estrogen-regulated growth inhibitor",1786
"10126","LOC105677407","gene11458","THAP domain-containing protein 4-like",1025
"5350","LOC105672632","gene6927","proteasome subunit alpha type-2",853
"5132","LOC105672414","gene6924","uncharacterized LOC105672414",1904
"5348","LOC105672630","gene6925","retinol dehydrogenase 14",1214
"5344","LOC105672626","gene6921","beta-1,4-galactosyltransferase 7",1549
"5252","LOC105672534","gene6929","uncharacterized LOC105672534",746
"9334","LOC105676615","gene10580","trafficking protein particle complex subunit 3",849
"8954","LOC105676235","gene10583","decaprenyl-diphosphate synthase subunit 2-like",1552
"9245","LOC105676526","gene10584","nudC domain-containing protein 1",2294
"3290","LOC105670572","gene5168","uncharacterized LOC105670572",984
"9514","LOC105676795","gene10858","multiple inositol polyphosphate phosphatase 1",2034
"3313","LOC105670595","gene5160","probable complex I intermediate-associated protein 30, mitochondrial",1125
"6919","LOC105674201","gene8468","guanylate kinase",1952.5
"6917","LOC105674199","gene8467","uncharacterized LOC105674199",2161
"6913","LOC105674195","gene8462","uncharacterized LOC105674195",432
"6898","LOC105674180","gene882","mitochondrial tRNA-specific 2-thiouridylase 1",1859.75
"6969","LOC105674251","gene884","uncharacterized LOC105674251",246
"6954","LOC105674236","gene885","RNMT-activating mini protein",814
"6479","LOC105673761","gene842","transmembrane protein 222",1570
"7018","LOC105674300","gene889","uncharacterized LOC105674300",2330
"2600","LOC105669882","gene4386","leukocyte surface antigen CD53-like",2642
"12518","LOC105679799","gene1710","60S ribosomal protein L32",558
"188","LOC105667470","gene2355","calcium uptake protein 1 homolog, mitochondrial",1757.33333333333
"191","LOC105667473","gene2354","uncharacterized LOC105667473",1073
"184","LOC105667466","gene2351","TP53-regulated inhibitor of apoptosis 1-like",1151
"8015","LOC105675296","gene9738","40S ribosomal protein S7",706
"8016","LOC105675297","gene9739","immediate early response 3-interacting protein 1",394
"8093","LOC105675374","gene9737","ATP-dependent (S)-NAD(P)H-hydrate dehydratase",1366
"8096","LOC105675377","gene9732","histidine triad nucleotide-binding protein 1",768
"8097","LOC105675378","gene9730","translation machinery-associated protein 7 homolog",488
"8094","LOC105675375","gene9731","dihydrofolate reductase",921.111111111111
"4075","LOC105671357","gene5839","translin",1025.5
"7335","LOC105674617","gene8643","solute carrier family 35 member G1-like",2982
"10963","LOC105678244","gene12172","apoptosis-inducing factor 1, mitochondrial",3167
"10967","LOC105678248","gene12175","tropomyosin-2-like",1510
"10950","LOC105678231","gene12179","uncharacterized LOC105678231",4136.33333333333
"5407","LOC105672689","gene7091","uncharacterized LOC105672689",2152
"5406","LOC105672688","gene7092","uncharacterized LOC105672688",2955
"5386","LOC105672668","gene7094","signal recognition particle receptor subunit beta",1030
"5411","LOC105672693","gene7097","myosin-2 essential light chain",1464
"7879","LOC105675160","gene9378","elongator complex protein 5",1506
"4240","LOC105671522","gene5761","palmitoyl-protein thioesterase 1",1152
"4223","LOC105671505","gene5763","60S ribosomal protein L14",589
"3915","LOC105671197","gene5765","adenylyltransferase and sulfurtransferase MOCS3",1539
"5908","LOC105673190","gene7546","methyltransferase-like protein 2-A",1094
"5792","LOC105673074","gene7542","uncharacterized LOC105673074",404
"5984","LOC105673266","gene7549","protein will die slowly",1190
"5983","LOC105673265","gene7548","protein MTO1 homolog, mitochondrial",2231
"4416","LOC105671698","gene6155","uncharacterized LOC105671698",4839.2
"4322","LOC105671604","gene6150","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",1564.33333333333
"3657","LOC105670939","gene5499","ribosome biogenesis protein TSR3 homolog",924
"2360","LOC105669642","gene4322","",298.5
"3658","LOC105670940","gene5497","ubiquitin-40S ribosomal protein S27a",602
"3640","LOC105670922","gene5496","ribosome biogenesis protein NSA2 homolog",1192.5
"3663","LOC105670945","gene5495","60S ribosomal protein L30",468
"3662","LOC105670944","gene5493","general transcription factor IIF subunit 2",1088
"3665","LOC105670947","gene5491","WD repeat-containing protein WRAP73-like",1420
"823","LOC105668105","gene2922","cyclin-dependent kinases regulatory subunit",666.75
"10117","LOC105677398","gene11454","uncharacterized LOC105677398",1375
"10118","LOC105677399","gene11457","DNA repair protein XRCC4-like",1068
"10787","LOC105678068","gene11984","general transcription factor IIE subunit 2",1160.75
"10332","LOC105677613","gene11450","uncharacterized LOC105677613",2214
"2022","LOC105669304","gene4010","DNA methyltransferase 1-associated protein 1",1664
"2053","LOC105669335","gene4014","putative Golgi pH regulator C",1491
"2193","LOC105669475","gene4173","uncharacterized LOC105669475",2835
"2202","LOC105669484","gene4171","perilipin-1-like",1063
"7357","LOC105674639","gene8810","thioredoxin, mitochondrial",1224
"10609","LOC105677890","gene11840","heme transporter hrg1-A-like",1075
"10610","LOC105677891","gene11841","uncharacterized LOC105677891",506
"58","LOC105667340","gene2233","phosphorylated adapter RNA export protein",1447
"7523","LOC105674804","gene9059","tctex1 domain-containing protein 1-like",1193
"9067","LOC105676348","gene10461","leucine-rich repeat extensin-like protein 3",2999
"9065","LOC105676346","gene10460","uncharacterized LOC105676346",1495.5
"9066","LOC105676347","gene10466","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",1131
"8984","LOC105676265","gene10469","proteasome assembly chaperone 2",1058.5
"40","LOC105667322","gene2235","microtubule-associated protein RP/EB family member 1",2573.16666666667
"4894","LOC105672176","gene6711","putative protein arginine N-methyltransferase 9",2647
"4897","LOC105672179","gene6713","E3 ubiquitin-protein ligase RNF14-like",2118
"4900","LOC105672182","gene6714","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase",1671
"4852","LOC105672134","gene6718","CMP-sialic acid transporter 1",1170
"2483","LOC105669765","gene476","uncharacterized LOC105669765",927.5
"2503","LOC105669785","gene479","uncharacterized LOC105669785",581
"2472","LOC105669754","gene478","geranylgeranyl transferase type-2 subunit alpha",2124
"1516","LOC105668798","gene3543","protein PFC0760c-like",1479.6
"444","LOC105667726","gene2724","60S ribosomal protein L19",730
"606","LOC105667888","gene2726","transcription factor BTF3 homolog 4",2731
"1550","LOC105668832","gene3540","girdin-like",706
"4634","LOC105671916","gene6438","uncharacterized LOC105671916",3111
"4632","LOC105671914","gene6436","ribonuclease Z, mitochondrial",2975
"4640","LOC105671922","gene6430","mitochondrial thiamine pyrophosphate carrier",1260
"4641","LOC105671923","gene6431","astacin",1255
"4643","LOC105671925","gene6432","uncharacterized LOC105671925",601
"4642","LOC105671924","gene6433","transmembrane protein 170B",952
"932","LOC105668214","gene3013","F-box only protein 9",1971
"1187","LOC105668469","gene3133","death-associated protein 1",1370
"4832","LOC105672114","gene697","probable DNA replication complex GINS protein PSF2",1413
"4858","LOC105672140","gene694","cyclin-C",1640.66666666667
"5756","LOC105673038","gene7396","uncharacterized LOC105673038",2053
"4180","LOC105671462","gene5912","apoptogenic protein 1, mitochondrial",589
"945","LOC105668227","gene3018","protein PBDC1",786
"11442","LOC105678723","gene12694","beta-1,3-galactosyltransferase brn",1749
"11443","LOC105678724","gene12695","probable G-protein coupled receptor B0563.6",1553
"11444","LOC105678725","gene12698","probable serine hydrolase",1708.5
"11440","LOC105678721","gene12699","protein pelota-like",1921
"11155","LOC105678436","gene12433","uncharacterized LOC105678436",397
"11163","LOC105678444","gene12340","uncharacterized LOC105678444",1225
"11211","LOC105678492","gene12343","cyclin-Y",4891
"916","LOC105668198","gene3098","synaptobrevin homolog 2-like",426
"7199","LOC105674481","gene8688","RCC1 and BTB domain-containing protein 1-like",2336
"5888","LOC105673170","gene7605","uncharacterized LOC105673170",332
"9526","LOC105676807","gene10856","uncharacterized LOC105676807",2314
"9324","LOC105676605","gene10588","ribonuclease P protein subunit p40-like",1301
"5887","LOC105673169","gene7607","uncharacterized LOC105673169",1528
"8237","LOC105675518","gene9523","uncharacterized protein C9orf78 homolog",1080
"10493","LOC105677774","gene11617","exosome complex component RRP41",1075
"10497","LOC105677778","gene11615","BRCA1-A complex subunit BRE-like",1395
"10341","LOC105677622","gene11612","uncharacterized LOC105677622",3184
"10364","LOC105677645","gene11610","cytochrome P450 6A1-like",2349
"3124","LOC105670406","gene5027","synaptobrevin homolog YKT6",1940
"10511","LOC105677792","gene11619","uncharacterized LOC105677792",2113.33333333333
"10492","LOC105677773","gene11618","crossover junction endonuclease MUS81",1604
"3697","LOC105670979","gene5534","inosine triphosphate pyrophosphatase",703
"3696","LOC105670978","gene5535","26S proteasome non-ATPase regulatory subunit 7",1195
"6077","LOC105673359","gene7751","proteasome subunit alpha type-5",1443
"5174","LOC105672456","gene6948","uncharacterized LOC105672456",1112.5
"6428","LOC105673710","gene8034","sentrin-specific protease 1-like",2981
"5239","LOC105672521","gene6944","phosphatidate phosphatase PPAPDC1B",1096
"5345","LOC105672627","gene6941","ralA-binding protein 1",4490.66666666667
"7229","LOC105674511","gene8668","mitochondrial import inner membrane translocase subunit Tim21-like",1219
"7181","LOC105674463","gene8667","pyrimidodiazepine synthase-like",1054
"7180","LOC105674462","gene8662","probable methyltransferase BTM2 homolog",1323.5
"7183","LOC105674465","gene8661","60S ribosomal protein L28",541
"7093","LOC105674375","gene8660","uncharacterized LOC105674375",706
"8298","LOC105675579","gene9526","uncharacterized protein PFB0765w-like",1649
"9474","LOC105676755","gene10876","inosine-uridine preferring nucleoside hydrolase-like",1313
"3229","LOC105670511","gene5147","membrane-bound transcription factor site-2 protease",1906
"3231","LOC105670513","gene5146","transcription initiation factor IIA subunit 2",951
"3255","LOC105670537","gene5142","charged multivesicular body protein 6",1158
"3294","LOC105670576","gene5149","jmjC domain-containing protein 4",1624.5
"3230","LOC105670512","gene5148","probable tRNA pseudouridine synthase 2",1204
"6905","LOC105674187","gene8483","synaptotagmin-4",5411
"6908","LOC105674190","gene8481","uncharacterized LOC105674190",2774
"9344","LOC105676625","gene10453","U6 snRNA-associated Sm-like protein LSm2",615
"10108","LOC105677389","gene11472","serine/threonine-protein phosphatase 5",2523.66666666667
"10123","LOC105677404","gene11471","cancer-related nucleoside-triphosphatase homolog",666
"9134","LOC105676415","gene10451","pyrimidodiazepine synthase-like",1159
"6214","LOC105673496","gene7929","uncharacterized LOC105673496",2496
"9195","LOC105676476","gene10702","tetratricopeptide repeat protein 19 homolog, mitochondrial",1281
"9194","LOC105676475","gene10701","protein catecholamines up",2383.33333333333
"8996","LOC105676277","gene10704","uncharacterized LOC105676277",630
"6708","LOC105673990","gene869","60S ribosomal protein L13",843
"6332","LOC105673614","gene860","dynactin subunit 5",1680.33333333333
"8023","LOC105675304","gene9530","probable dimethyladenosine transferase",1071
"8203","LOC105675484","gene9532","putative protein tag-52",2697
"8281","LOC105675562","gene9534","60S ribosomal protein L9",812
"2904","LOC105670186","gene4818","39S ribosomal protein L30, mitochondrial",753
"7812","LOC105675093","gene9283","3-hydroxyisobutyrate dehydrogenase, mitochondrial",1206.8
"7437","LOC105674718","gene8949","uncharacterized LOC105674718",1106
"12488","LOC105679769","gene1732","methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",2346
"12489","LOC105679770","gene1733","corepressor interacting with RBPJ 1",1310
"12340","LOC105679621","gene1731","transmembrane protein 209",2264
"8190","LOC105675471","gene9754","uncharacterized LOC105675471",394
"8187","LOC105675468","gene9755","UPF0764 protein C16orf89 homolog",1553
"8140","LOC105675421","gene9757","major royal jelly protein 1",2120
"8189","LOC105675470","gene9750","nuclear transcription factor Y subunit B-4",1132
"8188","LOC105675469","gene9751","leucine-rich repeat-containing protein 59",1368
"4001","LOC105671283","gene5856","protein MMS22-like",4078.5
"4007","LOC105671289","gene5854","oligosaccharyltransferase complex subunit OSTC",760
"4006","LOC105671288","gene5853","calcium and integrin-binding protein 1-like",1565.5
"4008","LOC105671290","gene5850","autophagy protein 12-like",824
"10500","LOC105677781","gene11717","vacuolar protein sorting-associated protein 16 homolog",2924
"9955","LOC105677236","gene11247","RWD domain-containing protein 1",829
"6305","LOC105673587","gene7924","uncharacterized LOC105673587",2559
"3860","LOC105671142","gene5700","uncharacterized LOC105671142",1629.5
"5774","LOC105673056","gene7463","uncharacterized LOC105673056",761
"5876","LOC105673158","gene7562","chondroitin proteoglycan-2-like",2184
"2602","LOC105669884","gene4389","ADP-ribosylation factor-related protein 1",837.5
"4303","LOC105671585","gene6174","uncharacterized LOC105671585",1773
"4335","LOC105671617","gene6172","aladin",2468.66666666667
"2496","LOC105669778","gene4382","uncharacterized LOC105669778",7229
"8419","LOC105675700","gene9824","DNA repair protein XRCC1",1769
"1087","LOC105668369","gene3280","12 kDa FK506-binding protein",1193
"8111","LOC105675392","gene9586","DNA polymerase delta small subunit-like",2017
"2599","LOC105669881","gene4387","COP9 signalosome complex subunit 5",1490
"7436","LOC105674717","gene8947","THAP domain-containing protein 5-like",791
"10264","LOC105677545","gene11395","basic salivary proline-rich protein 1-like",3664
"639","LOC105667921","gene2758","uncharacterized LOC105667921",1248
"2021","LOC105669303","gene4030","uncharacterized LOC105669303",1848
"2060","LOC105669342","gene4031","",401.333333333333
"9160","LOC105676441","gene10443","uncharacterized LOC105676441",2043.66666666667
"11337","LOC105678618","gene1284","actin-related protein 10",1401
"11363","LOC105678644","gene1282","MAM and LDL-receptor class A domain-containing protein 1-like",3846
"11266","LOC105678547","gene1281","nuclear receptor 2C2-associated protein",797
"11251","LOC105678532","gene1289","calcineurin subunit B type 2",1968
"10640","LOC105677921","gene11863","polyubiquitin-B",1083
"10646","LOC105677927","gene11864","Niemann-Pick C1 protein-like",4374.5
"10624","LOC105677905","gene11866","reticulon-4-interacting protein 1, mitochondrial",1383
"10623","LOC105677904","gene11867","tryptophan--tRNA ligase, mitochondrial",1270
"5242","LOC105672524","gene6880","alpha-tocopherol transfer protein-like",1445.33333333333
"5294","LOC105672576","gene6888","H/ACA ribonucleoprotein complex subunit 2-like protein",695.5
"4676","LOC105671958","gene6444","translation machinery-associated protein 16",869
"4972","LOC105672254","gene6777","uncharacterized LOC105672254",2414
"3403","LOC105670685","gene5282","glycine-rich RNA-binding protein 1-like",602
"3408","LOC105670690","gene5283","uncharacterized LOC105670690",938
"3406","LOC105670688","gene5280","uncharacterized LOC105670688",621.666666666667
"3411","LOC105670693","gene5281","uncharacterized LOC105670693",1040
"6815","LOC105674097","gene8348","uncharacterized LOC105674097",1187
"2258","LOC105669540","gene458","uncharacterized LOC105669540",1133
"6760","LOC105674042","gene8341","BTB/POZ domain-containing protein 7",5688
"6254","LOC105673536","gene7822","farnesol dehydrogenase-like",1019.33333333333
"2207","LOC105669489","gene452","ejaculatory bulb-specific protein 3-like",602
"4656","LOC105671938","gene6414","splicing factor U2af 38 kDa subunit-like",1270
"4670","LOC105671952","gene6418","NF-kappa-B inhibitor-interacting Ras-like protein",1595.66666666667
"1888","LOC105669170","gene3900","valacyclovir hydrolase",1219
"6318","LOC105673600","gene7933","ADP-ribosylation factor-like protein 6-interacting protein 4",1671
"177","LOC105667459","gene237","D-glucuronyl C5-epimerase",3425
"11282","LOC105678563","gene12415","UPF0160 protein MYG1, mitochondrial",1513.8
"11299","LOC105678580","gene12416","protein phosphatase inhibitor 2-like",861
"11298","LOC105678579","gene12417","tRNA pseudouridine(38/39) synthase",1950
"1175","LOC105668457","gene3073","ER membrane protein complex subunit 3",1045
"1180","LOC105668462","gene3077","GTP-binding protein Rheb homolog",1083.8
"1174","LOC105668456","gene3074","nitrilase homolog 1",1361
"3984","LOC105671266","gene5835","RING finger protein 113A",2372
"2115","LOC105669397","gene4088","uncharacterized protein C45G9.7",2294
"1362","LOC105668644","gene3401","28S ribosomal protein S22, mitochondrial",1218
"12153","LOC105679434","gene1501","uncharacterized LOC105679434",891
"1595","LOC105668877","gene3617","39S ribosomal protein L40, mitochondrial",765
"1605","LOC105668887","gene3612","diphthine synthase",1022
"7998","LOC105675279","gene98","DNA/RNA-binding protein KIN17",1932
"8601","LOC105675882","gene92","NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog",1484.66666666667
"8531","LOC105675812","gene93","CWF19-like protein 2",2606
"7518","LOC105674799","gene91","myb-like protein X",3012
"8072","LOC105675353","gene97","uncharacterized LOC105675353",793.5
"7650","LOC105674931","gene94","endoplasmic reticulum resident protein 29",1135
"7586","LOC105674867","gene95","ran-specific GTPase-activating protein-like",1289
"8180","LOC105675461","gene9675","islet cell autoantigen 1",2322.66666666667
"3673","LOC105670955","gene5517","uncharacterized LOC105670955",763
"786","LOC105668068","gene2888","NADH-cytochrome b5 reductase-like",1259
"778","LOC105668060","gene2884","uncharacterized LOC105668060",824.333333333333
"782","LOC105668064","gene2886","F-box/WD repeat-containing protein 4-like",1439.33333333333
"5327","LOC105672609","gene6963","uncharacterized LOC105672609",1447.66666666667
"5330","LOC105672612","gene6961","uncharacterized LOC105672612",1634
"5186","LOC105672468","gene6964","U6 snRNA-associated Sm-like protein LSm8",738
"7370","LOC105674651","gene8645","flavin reductase (NADPH)",1064.5
"5948","LOC105673230","gene7617","geranylgeranyl pyrophosphate synthase",1354
"5949","LOC105673231","gene7615","uncharacterized LOC105673231",1835
"6506","LOC105673788","gene8134","heat shock protein 67B2-like",1020
"9444","LOC105676725","gene10816","MIP18 family protein CG7949",642
"10164","LOC105677445","gene11496","tubulin-folding cofactor B",1109
"6719","LOC105674001","gene8150","mitochondrial import inner membrane translocase subunit Tim9",558
"9376","LOC105676657","gene10728","odorant receptor 13a-like",1203
"6047","LOC105673329","gene7679","loss of heterozygosity 12 chromosomal region 1 protein homolog",1922
"8018","LOC105675299","gene9514","DNL-type zinc finger protein-like",1234
"12199","LOC105679480","gene151","uncharacterized LOC105679480",598
"12213","LOC105679494","gene152","rab11 family-interacting protein 2",2531
"11307","LOC105678588","gene12425","RNA polymerase II subunit 5-mediating protein homolog",1642
"11271","LOC105678552","gene12427","nicastrin",3344
"12464","LOC105679745","gene1754","uncharacterized LOC105679745",1544
"12465","LOC105679746","gene1755","transcription initiation factor TFIID subunit 8",1084
"12602","LOC105679883","gene1751","U1 small nuclear ribonucleoprotein A",964.5
"7837","LOC105675118","gene9350","26S proteasome non-ATPase regulatory subunit 8",907
"954","LOC105668236","gene3083","protein dpy-30 homolog",891
"12767","LOC105680048","gene2069","HIG1 domain family member 1C-like",954.5
"12753","LOC105680034","gene2061","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4",391
"1463","LOC105668745","gene3440","nucleolar protein 12-like",1871
"1511","LOC105668793","gene3444","uncharacterized LOC105668793",852
"1466","LOC105668748","gene3448","probable methyltransferase-like protein 15 homolog",1752
"4125","LOC105671407","gene5870","THAP domain-containing protein 1-like",914
"4189","LOC105671471","gene5872","mitochondrial dicarboxylate carrier",2898
"3894","LOC105671176","gene5726","uncharacterized LOC105671176",1329
"3880","LOC105671162","gene5720","aminopeptidase N-like",2414.66666666667
"5776","LOC105673058","gene7580","histone H3.3-like",838
"10823","LOC105678104","gene12060","glutamate receptor ionotropic, kainate 2-like",2988
"10865","LOC105678146","gene12067","BTB/POZ domain-containing protein KCTD12",6608
"4307","LOC105671589","gene6194","spermidine synthase",991
"10019","LOC105677300","gene11302","uncharacterized LOC105677300",531.666666666667
"7587","LOC105674868","gene940","uncharacterized LOC105674868",4297
"2645","LOC105669927","gene4588","uncharacterized LOC105669927",589
"2644","LOC105669926","gene4589","39S ribosomal protein L53, mitochondrial",646.5
"2631","LOC105669913","gene4582","breast cancer metastasis-suppressor 1-like protein",1065
"2632","LOC105669914","gene4583","multiple coagulation factor deficiency protein 2 homolog",1641.4
"12617","LOC105679898","gene1853","vesicle transport through interaction with t-SNAREs homolog 1B-like",678
"11500","LOC105678781","gene1320","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3",542
"7677","LOC105674958","gene9163","pseudouridine-metabolizing bifunctional protein C1861.05",2486
"2187","LOC105669469","gene4138","cytochrome b5-like",1396
"2157","LOC105669439","gene4132","glyoxalase domain-containing protein 4",1354
"2999","LOC105670281","gene4916","dnaJ homolog subfamily C member 1-like",1943
"7680","LOC105674961","gene9166","uncharacterized LOC105674961",1436
"7003","LOC105674285","gene8552","methylthioribose-1-phosphate isomerase",1565
"10615","LOC105677896","gene11834","uncharacterized LOC105677896",1081
"7010","LOC105674292","gene8555","nose resistant to fluoxetine protein 6-like",2615
"10564","LOC105677845","gene11806","uncharacterized LOC105677845",406
"10562","LOC105677843","gene11804","uncharacterized protein C6orf106 homolog",2139
"10566","LOC105677847","gene11802","growth arrest and DNA damage-inducible proteins-interacting protein 1",1359
"7690","LOC105674971","gene9188","uncharacterized LOC105674971",1027.5
"319","LOC105667601","gene2475","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7-like",794
"7153","LOC105674435","gene8587","serine protease inhibitor dipetalogastin-like",1332
"3330","LOC105670612","gene5264","40S ribosomal protein S17",551
"3391","LOC105670673","gene5266","SET and MYND domain-containing protein 4-like",2824.5
"3359","LOC105670641","gene5267","guanine nucleotide-binding protein-like 1",2379
"849","LOC105668131","gene309","uncharacterized LOC105668131",1077
"6792","LOC105674074","gene8367","lipase 3-like",1924.33333333333
"6788","LOC105674070","gene8360","AN1-type zinc finger protein 6",4009.66666666667
"133","LOC105667415","gene2276","dynein light chain 4, axonemal-like",488
"128","LOC105667410","gene2277","probable cytosolic Fe-S cluster assembly factor AGAP009023",1711
"132","LOC105667414","gene2274","thioredoxin domain-containing protein 9",928
"143","LOC105667425","gene2271","sex-regulated protein janus-A-like",676
"129","LOC105667411","gene2279","ubiquitin-like modifier-activating enzyme 5",1541
"11395","LOC105678676","gene12652","nucleolar protein of 40 kDa-like",1663
"11401","LOC105678682","gene12653","uncharacterized LOC105678682",442
"11340","LOC105678621","gene12477","phosphoglycolate phosphatase-like",1385
"11316","LOC105678597","gene12475","probable deoxyhypusine synthase",1490
"11206","LOC105678487","gene12473","thyroid adenoma-associated protein",4084.5
"11250","LOC105678531","gene12470","germinal-center associated nuclear protein",1562.5
"1560","LOC105668842","gene3587","titin-like",23831
"1557","LOC105668839","gene3580","telomerase reverse transcriptase-like",1843.5
"12211","LOC105679492","gene1565","chromatin assembly factor 1 subunit B",1842
"12215","LOC105679496","gene1564","transmembrane protein 138",777
"12212","LOC105679493","gene1562","GPI mannosyltransferase 3",1896
"1698","LOC105668980","gene3639","sperm-associated antigen 7 homolog",1168
"1575","LOC105668857","gene3632","uncharacterized LOC105668857",825
"11757","LOC105679038","gene12894","uncharacterized protein C19orf52 homolog",834
"11905","LOC105679186","gene12897","ceramide synthase 6",2288
"5736","LOC105673018","gene7400","uncharacterized LOC105673018",1457
"7285","LOC105674567","gene8886","N-alpha-acetyltransferase 40",834
"6219","LOC105673501","gene7851","ribosome biogenesis protein BOP1 homolog",2661
"5534","LOC105672816","gene7248","myosin regulatory light chain sqh",1109
"5591","LOC105672873","gene7243","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",585.666666666667
"4055","LOC105671337","gene6033","putative fatty acyl-CoA reductase CG5065",1838.5
"3963","LOC105671245","gene6034","uncharacterized LOC105671245",1363
"12678","LOC105679959","gene1984","60S ribosomal protein L11",722
"12720","LOC105680001","gene1986","translation initiation factor IF-2, mitochondrial",2269.83333333333
"6527","LOC105673809","gene8112","Werner Syndrome-like exonuclease",1512
"6948","LOC105674230","gene8510","tumor necrosis factor receptor superfamily member 3-like",1413.33333333333
"10390","LOC105677671","gene11659","parkin coregulated gene protein homolog",1115
"9328","LOC105676609","gene10520","venom allergen 5-like",2582
"9329","LOC105676610","gene10521","venom allergen 5-like",3994
"9221","LOC105676502","gene10526","stromal cell-derived factor 2",1249.5
"8891","LOC105676172","gene10296","uncharacterized LOC105676172",438.5
"9290","LOC105676571","gene10529","uncharacterized LOC105676571",659
"9500","LOC105676781","gene10838","transmembrane inner ear expressed protein",3331
"11998","LOC105679279","gene1362","E3 ubiquitin-protein ligase cblA",774
"9410","LOC105676691","gene10747","transcription factor MafG",615
"6259","LOC105673541","gene823","M-phase phosphoprotein 6",751
"5855","LOC105673137","gene798","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial",1959.5
"9415","LOC105676696","gene10748","tRNA (cytosine(38)-C(5))-methyltransferase",1221.5
"1816","LOC105669098","gene3809","protein THEM6-like",1727.16666666667
"12369","LOC105679650","gene1772","prefoldin subunit 6",735
"12362","LOC105679643","gene1773","rhodopsin-like",2301.66666666667
"12365","LOC105679646","gene1771","phospholipase A1-like",2216
"12368","LOC105679649","gene1775","DNA replication complex GINS protein SLD5",1521
"2633","LOC105669915","gene2","uncharacterized LOC105669915",1421
"3212","LOC105670494","gene5092","uncharacterized LOC105670494",4501
"3201","LOC105670483","gene5096","coiled-coil domain-containing protein 112-like",1707.5
"3220","LOC105670502","gene5095","protein takeout-like",947
"6721","LOC105674003","gene8275","viral IAP-associated factor homolog",972
"12743","LOC105680024","gene2045","uncharacterized LOC105680024",1423
"5168","LOC105672450","gene7034","neurophysin 1-like",881
"3088","LOC105670370","gene4996","chromatin modification-related protein MEAF6",1631
"4309","LOC105671591","gene6206","odorant receptor 7a-like",405
"8465","LOC105675746","gene9930","uncharacterized LOC105675746",580
"3994","LOC105671276","gene5895","sec1 family domain-containing protein 2-like",2336
"10814","LOC105678095","gene12045","N-alpha-acetyltransferase 35, NatC auxiliary subunit",2616
"10846","LOC105678127","gene12040","39S ribosomal protein L28, mitochondrial",1077
"936","LOC105668218","gene3010","coiled-coil domain-containing protein 12",698
"2545","LOC105669827","gene4425","uncharacterized protein CG4449",2179.75
"2547","LOC105669829","gene4426","V-type proton ATPase subunit E",1517
"2160","LOC105669442","gene4115","phosphomannomutase",1429.66666666667
"2141","LOC105669423","gene4117","replication factor C subunit 3",1306
"2136","LOC105669418","gene4111","uncharacterized LOC105669418",226
"2108","LOC105669390","gene4112","protein NDUFAF4 homolog",405
"5172","LOC105672454","gene6936","uncharacterized LOC105672454",1125.5
"2548","LOC105669830","gene4423","uncharacterized LOC105669830",709
"153","LOC105667435","gene234","DNA-binding protein Ets97D",2133
"8823","LOC105676104","gene10192","iodotyrosine dehalogenase 1",3997.85714285714
"8582","LOC105675863","gene9961","sorting nexin-22-like",1106
"8544","LOC105675825","gene9965","maspardin-like",1212
"8549","LOC105675830","gene9968","acidic repeat-containing protein-like",2953
"9738","LOC105677019","gene10999","probable queuine tRNA-ribosyltransferase",1458.66666666667
"9775","LOC105677056","gene10997","thiamin pyrophosphokinase 1",1247.4
"6726","LOC105674008","gene8304","PRKCA-binding protein",1873.66666666667
"6741","LOC105674023","gene8308","uncharacterized LOC105674023",1392
"6740","LOC105674022","gene8309","uncharacterized LOC105674022",638
"2521","LOC105669803","gene4542","uncharacterized LOC105669803",4191
"3930","LOC105671212","gene5900","U6 snRNA-associated Sm-like protein LSm7",541
"3926","LOC105671208","gene5903","AP-2 complex subunit sigma",1122
"4184","LOC105671466","gene5905","proteasome subunit alpha type-6-like",873
"4185","LOC105671467","gene5906","probable small nuclear ribonucleoprotein Sm D2",569
"2574","LOC105669856","gene4429","40S ribosomal protein S18",635
"12731","LOC105680012","gene2007","probable ATP-dependent RNA helicase DDX47",4583
"2606","LOC105669888","gene4540","regulation of nuclear pre-mRNA domain-containing protein 1B",2383.5
"411","LOC105667693","gene2552","tetratricopeptide repeat protein 25",419.666666666667
"3594","LOC105670876","gene587","BRCA1-A complex subunit Abraxas-like",2580
"3479","LOC105670761","gene585","DALR anticodon-binding domain-containing protein 3",1601
